id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7469175317858501398,2025-02-08 22:15:48,Der Herrr Jesus Christus ist Gott tut Buße und glaubt an das Evangelium werdet von neuem geboren Johannes 33,1,0,7465036664910400790,7465036664910400790,neutral
7466746848537215766,2025-02-02 09:12:12,,1,0,7465036664910400790,7465036664910400790,negative
7465584582096995094,2025-01-30 06:02:27,,1,0,7465036664910400790,7465036664910400790,negative
7465584350652171030,2025-01-30 06:02:19,,1,0,7465036664910400790,7465036664910400790,negative
7465214967357915926,2025-01-29 06:08:21,Geiles Spiel ,1,0,7465036664910400790,7465036664910400790,positive
7465038654982570774,2025-01-28 18:43:12,,1,0,7465036664910400790,7465036664910400790,negative
7465037957755405078,2025-01-28 18:40:35,Ich wähle die und nicht die SPD,1,1,7465036664910400790,7465036664910400790,negative
7465037404007088918,2025-01-28 18:38:35,Frage ähh hmm vergessen ,1,0,7465036664910400790,7465036664910400790,negative
7469741541607867158,2025-02-10 10:53:07,,0,0,7465036664910400790,7465036664910400790,negative
7466037508285154070,2025-01-31 11:20:00,,0,0,7465036664910400790,7465036664910400790,negative
7465704257191281430,2025-01-30 13:46:03,SPD Nein Danke,0,0,7465036664910400790,7465036664910400790,negative
7465350704190833430,2025-01-29 14:54:05,"Weg mit diesen SPD Schämt euch wegen euren Kanzler und euren Spitzenpolitikern
AFD an die Macht   ",0,0,7465036664910400790,7465036664910400790,negative
7465190908960637718,2025-01-29 04:38:36,SPD unwählbar hier gibt es einen Post von Thilo von der SPD der Kinder obdachlos machen will wenn sie nicht seinen Meinung sind da sieht man das von der SPD Nichts gutes zu erwarten ist,0,0,7465036664910400790,7465036664910400790,negative
7464311888467477270,2025-01-26 19:43:06,Nur Merz ,3,3,7464218808757128470,7464218808757128470,positive
7464655039081120534,2025-01-27 17:54:26,NUR SPD ,2,0,7464218808757128470,7464218808757128470,negative
7464311945694380822,2025-01-26 19:43:18,Niemals blau und die linke SPD,2,1,7464218808757128470,7464218808757128470,negative
7464290340100702998,2025-01-26 18:19:32,,2,0,7464218808757128470,7464218808757128470,negative
7464280888869765910,2025-01-26 17:42:48,,2,0,7464218808757128470,7464218808757128470,negative
7464220231138378518,2025-01-26 13:47:18,Sehr cooles Format,2,1,7464218808757128470,7464218808757128470,positive
7464283359561761558,2025-01-26 17:52:17,SPD unwählbar,1,0,7464218808757128470,7464218808757128470,negative
7464238758440289046,2025-01-26 14:59:14,Gutes Video Niedersachsen trotzdem schöner,1,2,7464218808757128470,7464218808757128470,positive
7464229164960645910,2025-01-26 14:22:16,Deswegen,1,3,7464218808757128470,7464218808757128470,negative
