id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment
7465008842661937942,2025-01-28 16:47:26,Ich wähle Nur niemals Weidel und die rechtsextreme AfD,15,2,7465004402726702358,7465004402726702358,neutral
7465009190278071062,2025-01-28 16:48:59,Das gab es noch nie Doch 1933,12,1,7465004402726702358,7465004402726702358,neutral
7465011935962071830,2025-01-28 16:59:45,Wer jetzt noch CDU wählt ist selber Schuld,6,0,7465004402726702358,7465004402726702358,positive
7465008575333647126,2025-01-28 16:46:19,Wenn man ums verrecken Bundeskanzler werden will März du bist ein Fail,6,2,7465004402726702358,7465004402726702358,negative
7465070394115490582,2025-01-28 20:46:19,Wähle niemals CDU und AFD,5,0,7465004402726702358,7465004402726702358,negative
7465049740599624470,2025-01-28 19:26:15,Ich wähle Briefwahl Grüne Kein Bock auf die komischen,5,0,7465004402726702358,7465004402726702358,negative
7465252966527697686,2025-01-29 08:35:47,"Merz Weidel  MuskTrump
Chaos und Oligarchie pur Nicht bei uns",4,0,7465004402726702358,7465004402726702358,negative
7465072256596132630,2025-01-28 20:53:33,Der Braune Fritz,2,0,7465004402726702358,7465004402726702358,neutral
7465016603358266134,2025-01-28 17:17:42,Demokratie Schaft sich selbst zunehmend ab,2,0,7465004402726702358,7465004402726702358,neutral
7465283470316978966,2025-01-29 10:34:16,CDU Deutschlands Wo ist Euer Gewissen,1,0,7465004402726702358,7465004402726702358,negative
7465109930795205398,2025-01-28 23:20:35,,1,0,7465004402726702358,7465004402726702358,negative
7465076692011320086,2025-01-28 21:11:00,siehe 1933 das gab es schon,1,0,7465004402726702358,7465004402726702358,neutral
7471821576875541270,2025-02-16 01:25:19,Deswegen beide Stimmen TeamHabeck Habeck4Kanzler TeamRobert Merzverhindern Söderverhindern AfDverhindern Zuversicht,0,0,7465004402726702358,7465004402726702358,neutral
7465735703427793686,2025-01-30 15:48:03,niemals AFD und CDU ,0,0,7465004402726702358,7465004402726702358,negative
7465625337219777303,2025-01-30 08:40:49,RICHTIG SO,0,0,7465004402726702358,7465004402726702358,positive
7468765958774702870,2025-02-07 19:47:02,Putin soll bei uns im Dorf gesichtet worden sein mit einem Karton voll Bauschaum,192,18,7468661357437603094,7468661357437603094,neutral
7468739053534790422,2025-02-07 18:02:35,Ja bestimmt immer ist es Putin Putin hat auch Vulkane ausbrechen lassen,129,3,7468661357437603094,7468661357437603094,neutral
7468746264139170582,2025-02-07 18:30:39,Ihr glaubt auch die Menschen seien dumm das zu glauben was interessiert Putin unsere Autos  Das waren definitiv Klimaaktivisten,122,6,7468661357437603094,7468661357437603094,neutral
7468737784833049366,2025-02-07 17:57:36, Es war Putin persönlich ,100,2,7468661357437603094,7468661357437603094,neutral
7468691808790414102,2025-02-07 14:59:40,Hast du auch Beweise für die Behauptung,66,26,7468661357437603094,7468661357437603094,neutral
7468776256445661974,2025-02-07 20:27:08,"Putin ist natürlich auch Schuld dass ich im Jahr 2025 1000 weniger im Geldbeutel habe
Alter ich kann es nicht mehr hören",65,6,7468661357437603094,7468661357437603094,neutral
7468739483703329558,2025-02-07 18:04:28,Hast du Beweise,59,7,7468661357437603094,7468661357437603094,negative
7468769032406975254,2025-02-07 19:58:59, klar das war Putin Laut Habeck ist auch Trump an unserer schlechten Wirtschaft Schuld ,51,4,7468661357437603094,7468661357437603094,neutral
7468773840905405186,2025-02-07 20:17:45,bei uns schleicht putin selbst durch die strassen,40,9,7468661357437603094,7468661357437603094,neutral
7468751055930999574,2025-02-07 18:49:27,"für was soll Russland noch alles herhalten
ist doch einfach nur Lächerlich ",28,2,7468661357437603094,7468661357437603094,negative
7468667696124265218,2025-02-07 13:26:14,Bekommt leider viel zu wenig Aufmerksamkeit  Die Spaltung wird seit einem guten Jahrzehnten vorangetrieben  die bild ist da auch schon sehr lange ganz vorne mit dabei uniteresistcreate,28,1,7468661357437603094,7468661357437603094,negative
7468744012935054102,2025-02-07 18:21:55,glaubst du das selber,27,1,7468661357437603094,7468661357437603094,negative
7468718822754075414,2025-02-07 16:44:05,Das war doch klar das Putin die Schuld hat es ist hier jetzt dunkel geworden Putin hat das bestimmt gemacht ,26,0,7468661357437603094,7468661357437603094,neutral
7468770423791174422,2025-02-07 20:04:15,es lag bestimmt eine Quittung über 100 von Putin persönlich unterschrieben am Tatort ,24,10,7468661357437603094,7468661357437603094,neutral
7468761671844135702,2025-02-07 19:30:33,Der 1 April kommt doch erst noch ,24,5,7468661357437603094,7468661357437603094,neutral
7468664347909784342,2025-02-07 13:12:58,Hat die BILD eigentlich das ganze eingeräumt,17,2,7468661357437603094,7468661357437603094,negative
7468778401667777302,2025-02-07 20:35:13,so kindisch ist Putin nichthabeck schreibt doch gerne Kinderbücher ,16,0,7468661357437603094,7468661357437603094,neutral
7468727776548520706,2025-02-07 17:18:51,Es ist wieder typisch  Es gibt keine gesicherten Beweise  Alles nur Vermutung Und dann gibt es wieder diejenigen die alles glauben was bild berichtet,15,0,7468661357437603094,7468661357437603094,negative
7468777049197773590,2025-02-07 20:30:00,Was genau hat Russland davon Ist denen sicher völlig egal ob wie fahren oder laufen,12,6,7468661357437603094,7468661357437603094,negative
7468770011174011671,2025-02-07 20:02:48,Herr Emmerich bevor Sie dies Behaupten sollten dies erst einmal mit Fakten belegen,11,3,7468661357437603094,7468661357437603094,neutral
7468764724483506966,2025-02-07 19:42:18,Wie bei Nordstreamund Plötzlich waren es ja die Besatzer CIA,9,0,7468661357437603094,7468661357437603094,neutral
7468767666359173910,2025-02-07 19:53:31,Ich glaube es waren Trump und Musk ,5,1,7468661357437603094,7468661357437603094,neutral
7468755366667993878,2025-02-07 19:06:00,Wievielen Leuten hier in den Kommentaren nicht mehr zuhelfen ist,5,0,7468661357437603094,7468661357437603094,negative
7468752573316137750,2025-02-07 18:55:06,Das schadet nur denn grünen wer glaubt die würden vor einer Wahl so etwas tun Sollte nicht wählen dürfen,5,2,7468661357437603094,7468661357437603094,negative
7468777579680744214,2025-02-07 20:32:00,Welche nachprüfbaren Beweise kannst du vorlegen ,4,1,7468661357437603094,7468661357437603094,neutral
