id,like_count,parent_comment_id,reply_count,text,video_id,create_time
7467901580772688662,5,7467896063567957270,0,"Herr Frei sie belügen die Bevölkerung und das wissen sie auch. Sie wollen merz schützen und das verstehe ich, aber sie lügen dadurch zu viel!",7467896063567957270,1738756379
7467913009664328470,2,7467896063567957270,0,Was für schutzbedürftige 😈😈😈😈,7467896063567957270,1738759048
7467903649010041633,2,7467896063567957270,0,Das ist genau das was wir brauchen🤦🏼‍♂️Katastrophe 😂,7467896063567957270,1738757131
7467905765026693910,1,7467896063567957270,0,Frei? Bei Merkel war er nicht zu sehen. Was hat er damals gegen die Öffnung der Grenzen getan?,7467896063567957270,1738757344
7467902663193019158,1,7467896063567957270,0,Das will diese Frau nicht hören 😡,7467896063567957270,1738756645
7468487848283374358,0,7467896063567957270,0,"Herr Merz- Die Geister, die ich rief, werd ich nicht mehr los. Ein selbstverliebter Narzisst, der die Zeichen der Zeit nicht erkannt hat und gegen Kritik immun!",7467896063567957270,1738893065
7468487417969263382,0,7467896063567957270,0,Herr Merz wie wollen Sie ca 3800 km deutsche Grenzen personell und finanziell schützen..Luftnummer,7467896063567957270,1738893034
7468486744381260566,0,7467896063567957270,0,"Zu glauben man könnte mit Unaufrichtigkeit und ohne moralischen Kompass im Sinne des Trumpismus Politik der 90 er Jahre realisieren, hat die Zeichen der Zeit nicht erkannt! Deswegen ❤️💚",7467896063567957270,1738892897
7468240840424866582,0,7467896063567957270,0,🖤🖤🖤,7467896063567957270,1738835426
7467989420991447830,0,7467896063567957270,0,Einfach an Schengen und Dublin 2 halten dann haben wir kein Problem. Seit doch sonst so wild drauf euch an Gesetz und Ordnung zu halten,7467896063567957270,1738776823
7467502739258721046,5,7467499961299619094,0,Die Linken sind in der Minderheit und denken wenn sie schreien haben sie recht und sind die Mehrheit!🖤🖤🖤,7467499961299619094,1738663531
7467503472139059990,1,7467499961299619094,0,""" Minus"" 🤣",7467499961299619094,1738663747
7468240804681040662,0,7467499961299619094,0,🖤🖤🖤,7467499961299619094,1738835423
7468202191519171350,0,7467499961299619094,0,Es geht hier um GRUNDRECHTE,7467499961299619094,1738826409
7467591027365397270,0,7467499961299619094,0,"das Bundesamt für Migration wird seit Jahren von einem CSU Mann geleitet!??;
merkste was!???;",7467499961299619094,1738684062
7467527333768004374,0,7467499961299619094,0,"Deutschland hat ein sehr gutes Asylrecht!
Dieses sollte nur mal konsequent durchgeführt werden.
Familiennachzug ist auch nicht sinnvoll wenn kaum Erfolg auf Asyl besteht.",7467499961299619094,1738669245
7467517737258976022,0,7467499961299619094,0,NUR DIE AFD KANN DEUTSCHLAND NOCH RETTEN 😇😇😇,7467499961299619094,1738667011
7467504213225915158,0,7467499961299619094,0,🩷🩷,7467499961299619094,1738663900
7467504001652130582,0,7467499961299619094,0,Werden in der CDU Preise für die besten Lügen 🤥 vergeben,7467499961299619094,1738663831
7467298014283105046,2,7467297488450620695,0,Starker Mann aus dem Süden!,7467297488450620695,1738615844
7467298000281404182,2,7467297488450620695,0,Bester Mann!,7467297488450620695,1738615826
7467297940911424278,2,7467297488450620695,0,💪💪💪,7467297488450620695,1738615817
7467297937815798550,2,7467297488450620695,0,🖤🖤🖤,7467297488450620695,1738615814
7467300021123023638,1,7467297488450620695,0,Wer CDU wählt bekommt Andreas Scheuer zurück 😡😡😡😡,7467297488450620695,1738616309
7467298896960652054,1,7467297488450620695,0,🖤🖤,7467297488450620695,1738616032
7467298564906877718,1,7467297488450620695,0,"""Dass Männer, wenn sie nicht mehr weiterwissen, mit dem Wort Lüge um sich werfen, das bin ich ja schon gewohnt."" Schön die Baerbock getriggert 👍😂",7467297488450620695,1738615969
7469022982112527126,0,7467297488450620695,0,💙💙💙💙💙💙💙🙏🙏💙💯🙏💙,7467297488450620695,1739017475
7468077165431620374,0,7467297488450620695,0,💯🖤💯🖤💯🖤💯🖤💯🖤💯🖤💯🖤💯🖤💯🖤💯🖤💯🖤💯🖤💯🖤🖤💯🖤💯🖤💯🖤,7467297488450620695,1738797281
7467436316210545430,0,7467297488450620695,0,"🖤🖤🖤👍💪👏🙏🔥💯%🖤🖤🖤
Nur Merz und CDU/CSU!🖤🖤🖤",7467297488450620695,1738648144
7467426889373188886,0,7467297488450620695,0,🖤🖤🖤,7467297488450620695,1738645978
