id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emojis,emoji_sentiment
7459709896183857942,2025-01-14 10:05:26,"Ihr könntet Fragen stellen. Dabei tragt ihr die Verantwortung für diese Missstände. Nirgendwo wird mehr gelogen als in der Politik. Was vor den Wahlen versprochen wird, hält man danach nicht ein.",23,0,7459707640340286742,7459707640340286742,negative,[],-1.0
7459709567397872406,2025-01-14 10:04:03,Deshalb AFD.,9,3,7459707640340286742,7459707640340286742,negative,[],-1.0
7459710169315476247,2025-01-14 10:06:21,Wer war oder ist schuld 😂😂😂 ich weiß es altparteien 😂😂😂😂 deshalb nur noch AfD 💙💙💯💙💙😂😂,5,0,7459707640340286742,7459707640340286742,negative,"['😂', '😂', '😂', '😂', '😂', '😂', '😂', '💙', '💙', '💯', '💙', '💙', '😂', '😂']",1.0
7459727809898070806,2025-01-14 11:14:38,💙💙💙💙💙💙💙💙💙💙💙,4,0,7459707640340286742,7459707640340286742,negative,"['💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙', '💙']",1.0
7459709069047153430,2025-01-14 10:01:56,Ich frag mich welche Partei dafür verantwortlich ist 😂,4,1,7459707640340286742,7459707640340286742,neutral,['😂'],1.0
7467836024795628310,2025-02-05 07:39:21,🖤🖤🖤,4,0,7459707640340286742,7459707640340286742,negative,"['🖤', '🖤', '🖤']",1.0
7459734766544274198,2025-01-14 11:41:22,💙💙💙,3,0,7459707640340286742,7459707640340286742,negative,"['💙', '💙', '💙']",1.0
7459730888990343958,2025-01-14 11:26:19,💚,4,1,7459707640340286742,7459707640340286742,negative,['💚'],1.0
7468665803564679958,2025-02-07 13:18:49,🖤🖤🖤👍👍👍,3,0,7459707640340286742,7459707640340286742,negative,"['🖤', '🖤', '🖤', '👍', '👍', '👍']",1.0
7459742890858070816,2025-01-14 12:13:14,CDU war lange genug am Ruder und hat alles schwerer gemacht. einzig für die Politikerriege würde das Leben angenehm. korruptes Pack,2,0,7459707640340286742,7459707640340286742,negative,[],1.0
7459733988078813985,2025-01-14 11:38:30,"Das ""Gute"" der CDU haben wir noch nie gebraucht. Gesetzt dem Fall dass ""wir"" die Bevölkerung sind.",2,0,7459707640340286742,7459707640340286742,neutral,[],1.0
7475877613547029270,2025-02-26 23:44:21,🖤🖤🖤,2,0,7459707640340286742,7459707640340286742,negative,"['🖤', '🖤', '🖤']",1.0
7467836197998478102,2025-02-05 07:39:26,🥰,1,0,7459707640340286742,7459707640340286742,negative,['🥰'],1.0
7459758358048949014,2025-01-14 13:12:40,"jo dieses land hat die cdu kaputt gemacht, wegen 16 jahren stillstands- und abhängigkeitspolitik.",1,0,7459707640340286742,7459707640340286742,negative,[],1.0
7459748677382718230,2025-01-14 12:35:35,Des wegen afd💙,1,1,7459707640340286742,7459707640340286742,negative,['💙'],1.0
7459731743857115906,2025-01-14 11:29:34,Die brauchen gar nicht erst so eine Werbung zu machen die haben das Land zusammen mit der SPD und den Grünen an die Wand gefahren,1,0,7459707640340286742,7459707640340286742,negative,[],1.0
7459730090570613526,2025-01-14 11:23:07,"Ja war sie, doch dann hat die CDU alles kaputt gemacht.",1,0,7459707640340286742,7459707640340286742,negative,[],1.0
7459728898590343938,2025-01-14 11:18:56,"Wie wäre es mit einem Besuch im Märchenwald, wo es keine Gegenwarts- und Zukunftsaufgaben gibt, sondern nur spätpubertäre Brillenträger, die die bösen Minderleistenwollenden vertreiben?",1,0,7459707640340286742,7459707640340286742,neutral,[],1.0
7459728159878693664,2025-01-14 11:15:36,"Die CDU bestätigt das, was wir vor der CDU hatten.",1,0,7459707640340286742,7459707640340286742,neutral,[],1.0
7504924051690095382,2025-05-16 06:18:28,"Sehr geehrte CDUler, ich habe wirklich Angst, dass Taurus den Krieg nach Deutschland bringt. Und ich finde es sehr schade, dass ich als Ex-Schwarz/Grün-Wähler auf die AfD oder die BSW ausweichen muss, wenn ich gegen dieses Kriegs-Risiko bin. Viele Grüße aus der bürgerlichen Mitte.",0,0,7459707640340286742,7459707640340286742,negative,[],1.0
7479161429674902294,2025-03-07 20:06:23,Das war einmal aber bei der Regierung ist es kein Wunder da sitzen nur schwachköpfe 👍👍👍👍👍👌👌👌👌,0,0,7459707640340286742,7459707640340286742,negative,"['👍', '👍', '👍', '👍', '👍', '👌', '👌', '👌', '👌']",1.0
7475610331084653334,2025-02-26 06:27:19,ihr wart es die da beigetragen habt mit der Schwarzen Null! aber ich hoffe ihr macht es dieses Mal besser,0,0,7459707640340286742,7459707640340286742,negative,[],1.0
7468935331075523330,2025-02-08 06:45:32,"und Donnerstags gibt's
SOYLENT GREEN",0,0,7459707640340286742,7459707640340286742,negative,[],1.0
7467871407826961174,2025-02-05 09:56:02,"„Damit wir wieder stolz sein können auf unser Land…“ sollten wir die CDU/CSU auf unter 5% bringen-diese populistische,planlose Lobbyisten-und Steuergeldbetrügerpartei hatten wir lange genug😡😡😡😡😡",0,0,7459707640340286742,7459707640340286742,negative,"['😡', '😡', '😡', '😡', '😡']",1.0
