id,create_time,text,like_count,reply_count,parent_comment_id,video_id,sentiment,emoji_sentiment,extracted_emojis
7458727295562679062,2025-01-11 18:32:08,Wie wird das gegenfinanziert,36,0,7458704674120666390,7458704674120666390,neutral,,[]
7458814265329091350,2025-01-12 00:10:33,Was ist mit rente,11,0,7458704674120666390,7458704674120666390,negative,,[]
7458917394699272982,2025-01-12 06:51:33,da muss man erst mal den richtigen Koalitionspartner haben der das mit trägt,10,0,7458704674120666390,7458704674120666390,neutral,,[]
7458939968889029408,2025-01-12 08:17:19,kostenloses Essen ist mega gut,9,0,7458704674120666390,7458704674120666390,positive,,[]
7458988066674656022,2025-01-12 11:23:35,5 Wie wärs mit senken des Steuersatzes Dann endet die lohnspirale endlich 6 Wie wärs mit bezahlbarem Wohnraum dann bräuchte man auch nicht zwingend mehr Lohn 7 mal weiter als bis zur Tapete denk,7,0,7458704674120666390,7458704674120666390,neutral,,[]
7459025622384296726,2025-01-12 13:49:12,15 Mindestlohn Ja klingt wirklich toll Ernsthaft Aber dann sorgt auch dafür dass die Preise nicht entsprechend in die Höhe steigen und die Arbeitgeber auch besser bezahlt werden Mein Chef kann,6,1,7458704674120666390,7458704674120666390,negative,,[]
7458961909259125537,2025-01-12 09:42:09,Seit wann gibt es das,4,0,7458704674120666390,7458704674120666390,negative,,[]
7458889098859725590,2025-01-12 05:06:07,Nur noch SPD,4,0,7458704674120666390,7458704674120666390,negative,,['❤️']
7459022280770700054,2025-01-12 13:36:24,Weiter soo,3,0,7458704674120666390,7458704674120666390,positive,,['❤️']
7458833909938291478,2025-01-12 01:27:03,,2,0,7458704674120666390,7458704674120666390,negative,,"['❤️', '❤️', '❤️']"
7458775443623609110,2025-01-11 21:39:19,,2,0,7458704674120666390,7458704674120666390,negative,1.0,"['❤', '👍', '❤']"
7458746311384302338,2025-01-11 19:45:51,Deutschland braucht die CDU nicht,2,0,7458704674120666390,7458704674120666390,negative,,[]
7459044897153483522,2025-01-12 15:04:06,,1,0,7458704674120666390,7458704674120666390,negative,1.0,"['💛', '💛', '🤝']"
7459070755650454305,2025-01-12 16:44:31,,0,0,7458704674120666390,7458704674120666390,negative,1.0,"['😂', '😂', '😂']"
7458978717525148438,2025-01-12 10:47:19,Das ist nicht dein Ernst Wie sieht es mal mit Entlastung der Arbeitnehmer und Unternehmen aus,0,0,7458704674120666390,7458704674120666390,negative,-1.0,['😲']
7458948957215195926,2025-01-12 08:53:01,Leere Versprechen wie in jedem Wahlkampf,0,0,7458704674120666390,7458704674120666390,neutral,,[]
7458910384053879584,2025-01-12 06:22:43,Warum zahle ich in bonn unter euch immer noch Geld für Kita Warum habt ihr in Bonn in den letzten 20 Jahren nicht geschafft 23 neue Bahnlinien zu bauen Warum baut ihr nicht 50000 Wohnungen in Bonn,0,0,7458704674120666390,7458704674120666390,negative,,[]
7458779658007151362,2025-01-11 21:55:39,Ich Kenne Die,0,0,7458704674120666390,7458704674120666390,neutral,,[]
7458925058896675606,2025-01-12 07:20:41,"Olaf Scholz  Kanzler für alle 
Mehr Gerechtigkeit
Kein Platz für Hass
Starke Mitte faire Chancen
Er führt Deutschland sicher und vereint  für ein besseres Morgen ",0,0,7458704674120666390,7458704674120666390,neutral,1.0,"['❤️', '💪', '✔️', '✔️', '✔️', '🌍', '🇩🇪']"
7465458654918984470,2025-01-29 21:53:22,Super AfD,21,0,7465391649636486422,7465391649636486422,positive,,[]
